[dshow @ 0000017ffa9cd500] DirectShow video device options (from video devices)
[dshow @ 0000017ffa9cd500]  Pin "Capture" (alternative pin name "0")
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=640x480 fps=30 max s=640x480 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=640x480 fps=30 max s=640x480 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=320x180 fps=30 max s=320x180 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=320x180 fps=30 max s=320x180 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=320x240 fps=30 max s=320x240 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=320x240 fps=30 max s=320x240 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=424x240 fps=30 max s=424x240 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=424x240 fps=30 max s=424x240 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=640x360 fps=30 max s=640x360 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=640x360 fps=30 max s=640x360 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=848x480 fps=30 max s=848x480 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=848x480 fps=30 max s=848x480 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=960x540 fps=30 max s=960x540 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=960x540 fps=30 max s=960x540 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=1280x720 fps=30 max s=1280x720 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=1280x720 fps=30 max s=1280x720 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=1600x1200 fps=30 max s=1600x1200 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=1600x1200 fps=30 max s=1600x1200 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=1920x1080 fps=30 max s=1920x1080 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=1920x1080 fps=30 max s=1920x1080 fps=30
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=2592x1944 fps=15 max s=2592x1944 fps=15
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=2592x1944 fps=15 max s=2592x1944 fps=15
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=3264x2448 fps=15 max s=3264x2448 fps=15
[dshow @ 0000017ffa9cd500]   vcodec=mjpeg  min s=3264x2448 fps=15 max s=3264x2448 fps=15
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=640x480 fps=30 max s=640x480 fps=30
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=640x480 fps=30 max s=640x480 fps=30
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=320x180 fps=30 max s=320x180 fps=30
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=320x180 fps=30 max s=320x180 fps=30
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=320x240 fps=30 max s=320x240 fps=30
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=320x240 fps=30 max s=320x240 fps=30
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=2592x1944 fps=2 max s=2592x1944 fps=2
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=2592x1944 fps=2 max s=2592x1944 fps=2
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=1920x1080 fps=5 max s=1920x1080 fps=5
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=1920x1080 fps=5 max s=1920x1080 fps=5
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=3264x2448 fps=2 max s=3264x2448 fps=2
[dshow @ 0000017ffa9cd500]   pixel_format=yuyv422  min s=3264x2448 fps=2 max s=3264x2448 fps=2
